,eng,hindi,lexicon
920,bankrupt,दिवालिया,negative
921,bash,बैश,negative
922,bastard,कमीने,negative
923,bastards,कमीने,negative
924,battered,पीड़ित,negative
925,beg,भीख,negative
926,beggar,भिखारी,negative
927,begging,भीख,negative
928,belated,विलम्बित,negative
929,belligerent,जुझारू,negative
930,bent,आमादा,negative
931,bereavement,शोक,negative
932,betrayal,धोखा,negative
933,beware,सावधान,negative
934,bewildering,विस्मयकारी,negative
935,bias,पक्षपात,negative
936,biased,पक्षपाती,negative
937,biting,काटना,negative
938,bitter,कड़वा,negative
939,bizarre,विचित्र,negative
940,blah,ब्ला,negative
941,blame,दोष,negative
942,bland,फीका,negative
943,bleed,खून,negative
944,bleeding,ब्लीडिंग,negative
945,blemish,दाग,negative
946,blind,अंधा,negative
947,blister,छाला,negative
948,bloated,ब्लोटेड,negative
949,bloody,खूनी,negative
950,blow,आघात,negative
951,blunt,कुंद,negative
952,blur,धुंधलापन,negative
953,blurred,धुंधली,negative
954,blurring,ब्लर्रिंग,negative
955,bogus,पदों,negative
956,boil,उबालने,negative
957,boiling,उबलना,negative
958,boisterous,मस्ती,negative
959,bomb,बम,negative
960,bombard,ने,negative
961,bore,बोर,negative
962,bored,ऊबना,negative
963,boredom,बोरियत,negative
964,boring,उबाऊ,negative
965,bother,परेशान,negative
966,bothering,परेशान,negative
967,bothers,परेशान,negative
968,boycott,बहिष्कार,negative
969,brat,साहबजादा,negative
970,breach,उल्लंघन,negative
971,break,ब्रेक,negative
972,breakdown,टूटना,negative
973,breaking,ब्रेकिंग,negative
974,breaks,टूट,negative
975,bribery,ने,negative
976,brittle,की,negative
977,broke,तोड़,negative
978,broken,टूटा,negative
979,bruising,चोट,negative
980,brutal,क्रूर,negative
981,brute,पाशविक,negative
982,bs,बी,negative
983,buckle,बकल,negative
984,bug,बग,negative
985,buggy,बगी,negative
986,bugs,कीड़े,negative
987,bullies,बुलीज,negative
988,bullshit,बकवास,negative
989,bully,बुली,negative
990,bullying,बदमाशी,negative
991,bump,अर्चन,negative
992,bumps,घाव,negative
993,bunk,बंक,negative
994,burden,बोझ,negative
995,burn,जलाना,negative
996,burned,फूंका,negative
997,burning,जलना,negative
998,burns,जला,negative
999,bust,सीना,negative
1000,butcher,कसाई,negative
1001,calamities,आपदाएं,negative
1002,calamity,आपदा,negative
1003,cancer,कैंसर,negative
1004,cannibal,नरभक्षक,negative
1005,capricious,मौजी,negative
1006,careless,लापरवाह,negative
1007,caricature,कार्टून,negative
1008,carp,कार्प,negative
1009,casualty,घायल,negative
1010,catastrophe,तबाही,negative
1011,cave,गुफा,negative
1012,challenging,रहा,negative
1013,chaos,हलचल,negative
1014,cheap,सस्ते,negative
1015,cheat,धोखा,negative
1016,cheated,धोखा,negative
1017,cheating,धोखा,negative
1018,cheats,छिपा,negative
1019,childish,बचकाना,negative
1020,chill,चिल,negative
1021,chilly,मिर्च,negative
1022,chore,का,negative
1023,chronic,चिरकालिक,negative
1024,clogged,जाम,negative
1025,cloud,क्लाउड,negative
1026,cloudy,बादल,negative
1027,clueless,अंजान,negative
1028,clunky,भद्दी,negative
1029,coarse,अपरिष्कृत,negative
1030,coercion,मानस,negative
1031,cold,ठंड,negative
1032,collapse,ढहना,negative
1033,comical,आनंदप्रद,negative
1034,commotion,मची,negative
1035,complain,शिकायत,negative
1036,complaining,शिकायत,negative
1037,complaint,शिकायत,negative
1038,complaints,शिकायतें,negative
1039,complex,जटिल,negative
1040,complicated,जटिल,negative
1041,compulsive,बाध्यकारी,negative
1042,concern,चिंता,negative
1043,concerned,चिंतित,negative
1044,concerns,चिंता,negative
1045,confess,मानता,negative
1046,confession,गल्ती,negative
1047,confined,सीमित,negative
1048,conflict,संघर्ष,negative
1049,conflicting,विरोधाभाषी,negative
1050,conflicts,विरोधों,negative
1051,confounded,हैरान,negative
1052,confounding,गड़बड़ी,negative
1053,confused,उलझन,negative
1054,confusing,भ्रामक,negative
1055,confusion,असमंजस,negative
1056,congestion,रुकावट़,negative
1057,cons,विपक्ष,negative
1058,conservative,कंजर्वेटिव,negative
1059,conspicuous,प्रत्यक्ष,negative
1060,conspiracy,गहरी,negative
1061,consternation,घबराहट,negative
1062,contagious,संक्रामक,negative
1063,contaminated,गांव,negative
1064,contamination,संदूषण,negative
1065,contempt,अवहेलना,negative
1066,controversial,विवादास्पद,negative
1067,controversy,कंट्रोवर्सी,negative
1068,corrosion,जंग,negative
1069,corrosive,संक्षारक,negative
1070,corrupt,भ्रष्ट,negative
1071,corrupted,भ्रष्ट,negative
1072,corruption,भ्रष्टाचार,negative
1073,costlier,महंगे,negative
1074,costly,महंगा,negative
1075,crack,क्रैक,negative
1076,cracked,टूटी,negative
1077,cracks,दरार,negative
1078,crap,इस,negative
1079,crash,दुर्घटना,negative
1080,crashed,दुर्घटनाग्रस्त,negative
1081,crashes,करने,negative
1082,crashing,दुर्घटनाग्रस्त,negative
1083,crazy,पागल,negative
1084,creep,डरावना,negative
1085,creeping,रेंगती,negative
1086,creeps,चिंताएं,negative
1087,creepy,डरावने,negative
1088,crime,अपराध,negative
1089,criminal,आपराधिक,negative
1090,cripples,अपंग,negative
1091,crisis,संकट,negative
1092,critic,आलोचक,negative
1093,critical,महत्वपूर्ण,negative
1094,criticism,आलोचना,negative
1095,criticisms,रूढ़िवादि,negative
1096,criticizing,आलोचना,negative
1097,critics,आलोचकों,negative
1098,crook,बदमाश,negative
1099,crooked,कुटिल,negative
1100,crooks,बदमाश,negative
1101,crowded,भीड़,negative
1102,crude,कच्चा,negative
1103,cruelty,क्रूरता,negative
1104,crumbling,पेस्ट्री,negative
1105,crush,क्रश,negative
1106,crushed,कुचला,negative
1107,cry,रोना,negative
1108,curse,अभिशाप,negative
1109,cuss,कसम,negative
1110,damage,क्षति,negative
1111,damaged,क्षतिग्रस्त,negative
1112,damages,हर्जाना,negative
1113,damaging,को,negative
1114,damn,लानत,negative
1115,damned,अभिशप्त,negative
1116,danger,खतरा,negative
1117,dangerous,खतरनाक,negative
1118,dark,गहरा,negative
1119,darkness,अंधेरा,negative
1120,daze,डेज,negative
1121,dazed,घबराया,negative
1122,dead,मृत,negative
1123,deadly,घातक,negative
1124,deaf,बहरा,negative
1125,death,मृत्यु,negative
1126,debt,ऋण,negative
1127,debts,ऋण,negative
1128,decadent,अनैतिक,negative
1129,decay,क्षय,negative
1130,deceit,धोखा,negative
1131,deceitful,ये,negative
1132,deceive,धोखा,negative
1133,deceiving,धोखा,negative
1134,deception,ने,negative
1135,decline,गिरावट,negative
1136,declines,का,negative
1137,defamation,मानहानि,negative
1138,defect,दोष,negative
1139,defective,दोषपूर्ण,negative
1140,defects,दोष,negative
1141,defensive,रक्षात्मक,negative
1142,deficiencies,विकारों,negative
1143,deficiency,डेफिसिएंसी,negative
1144,defy,को,negative
1145,degeneration,अध,negative
1146,degradation,में,negative
1147,delay,देरी,negative
1148,delayed,देरी,negative
1149,delays,ऑपरेशन,negative
1150,delusion,की,negative
1151,demise,मौत,negative
1152,demon,दानव,negative
1153,denial,इनकार,negative
1154,denied,इनकार,negative
1155,dense,सघन,negative
1156,dents,खरोंच,negative
1157,deny,इनकार,negative
1158,deplete,खाली,negative
1159,depressed,उदास,negative
1160,depression,डिप्रेशन,negative
1161,deprived,वंचित,negative
1162,desert,रेगिस्तान,negative
1163,despair,निराशा,negative
1164,desperate,मायूस,negative
1165,desperation,हताशा,negative
1166,destroy,नष्ट,negative
1167,destruction,विनाश,negative
1168,destructive,विनाशकारी,negative
1169,deter,को,negative
1170,deterrent,निवारक,negative
1171,devastation,तबाही,negative
1172,deviation,विचलन,negative
1173,devil,शैतान,negative
1174,devious,कुटिल,negative
1175,devoid,रहित,negative
1176,dick,लंड,negative
1177,die,मरना,negative
1178,died,मर,negative
1179,dies,की,negative
1180,difficult,मुश्किल,negative
1181,difficulties,में,negative
1182,difficulty,बड़ी,negative
1183,dilemma,दुविधा,negative
1184,dim,मंद,negative
1185,dimmer,मद्धम,negative
1186,ding,डिंग,negative
1187,dings,खनखन,negative
1188,dire,डायर,negative
1189,dirt,वाली,negative
1190,dirty,गंदा,negative
1191,disable,निष्क्रिय,negative
1192,disabled,अक्षम,negative
1193,disadvantage,नुकसान,negative
1194,disadvantages,नुकसान,negative
1195,disagree,असहमत,negative
1196,disagreement,धक्कामुक्की,negative
1197,disappoint,को,negative
1198,disappointed,निराश,negative
1199,disappointing,निराशाजनक,negative
1200,disappointments,निराशा,negative
1201,disaster,आपदा,negative
1202,disastrous,विनाशकारी,negative
1203,discomfort,में,negative
1204,discontinued,बंद,negative
1205,discord,कलह,negative
1206,discourage,को,negative
1207,discrimination,भेदभाव,negative
1208,disdain,घृणा,negative
1209,disgrace,अपमान,negative
1210,dishonest,बेईमान,negative
1211,dishonor,अनादर,negative
1212,dislike,नापसंदगी,negative
1213,dislikes,नापसंद,negative
1214,dislocated,अव्यवस्थित,negative
1215,disobedience,अवज्ञा,negative
1216,disorder,विकार,negative
1217,dispute,विवाद,negative
1218,disputed,विवादित,negative
1219,disruption,व्यवधान,negative
1220,dissatisfied,असंतुष्ट,negative
1221,dissed,का,negative
1222,dissonance,मतभेद,negative
1223,distortion,डिस्टोर्शन,negative
1224,distress,संकट,negative
1225,disturb,परेशान,negative
1226,disturbance,हंगामा,negative
1227,dizzy,चक्कर,negative
1228,doom,कयामत,negative
1229,dope,डोप,negative
1230,doubt,शक,negative
1231,doubtful,संदिग्ध,negative
1232,doubts,संदेह,negative
1233,downside,सवाल,negative
1234,drag,खींचें,negative
1235,drain,नाली,negative
1236,drained,वाली,negative
1237,drastic,भारी,negative
1238,drawback,ड्रॉबैक,negative
1239,dreadful,भयानक,negative
1240,dropout,छोड़ने,negative
1241,drought,सूखे,negative
1242,drowning,डूब,negative
1243,drunk,नशे,negative
1244,dubious,इस,negative
1245,dull,सुस्त,negative
1246,dumb,गूंगा,negative
1247,dump,डंप,negative
1248,dumped,की,negative
1249,dungeon,कालकोठरी,negative
1250,dust,धूल,negative
1251,dusty,गन्दे,negative
1252,dying,दम,negative
1253,elimination,निष्कासन,negative
1254,embarrass,शर्मिंदा,negative
1255,embarrassing,शर्मनाक,negative
1256,emergency,आपातकालीन,negative
1257,enemies,दुश्मन,negative
1258,enemy,दुश्मन,negative
1259,entangle,को,negative
1260,epidemic,संक्रामक,negative
1261,erase,मिटा,negative
1262,erosion,कटाव,negative
1263,error,त्रुटि,negative
1264,errors,त्रुटियां,negative
1265,escapade,एस्कपेड,negative
1266,evasion,की,negative
1267,evil,बुराई,negative
1268,exaggeration,अतिशयोक्ति,negative
1269,excessive,अत्यधिक,negative
1270,excessively,देना,negative
1271,exclusion,अपवर्जन,negative
1272,excuse,बहाना,negative
1273,excuses,बहाने,negative
1274,exhaust,निकास,negative
1275,exhausted,थका,negative
1276,expensive,महंगा,negative
1277,expire,समाप्त,negative
1278,expired,समाप्त,negative
1279,explode,लगभग,negative
1280,exploit,शोषित,negative
1281,exploitation,शोषण,negative
1282,explosive,विस्फोटक,negative
1283,extinguish,कब,negative
1284,extravagant,खर्चीले,negative
1285,fabrication,निर्माण,negative
1286,fail,विफल,negative
1287,failed,विफल,negative
1288,fails,विफल,negative
1289,failure,विफलता,negative
1290,failures,विफलता,negative
1291,faint,कमजोर,negative
1292,fake,नकली,negative
1293,fall,पड़ना,negative
1294,fallen,प्यार,negative
1295,falling,गिरना,negative
1296,falls,नीचे,negative
1297,false,बनावटी,negative
1298,famine,दुष्काल,negative
1299,fanatic,कट्टर,negative
1300,fanatics,फैनाटिक्स,negative
1301,farce,को,negative
1302,fascism,फासीवाद,negative
1303,fascist,फासीवादी,negative
1304,fat,वसा,negative
1305,fatal,घातक,negative
1306,fatigue,थकान,negative
1307,fatty,फैटी,negative
1308,fault,आखिर,negative
1309,faulty,दोषपूर्ण,negative
1310,fear,डर,negative
1311,fears,भय,negative
1312,feckless,बेफिक्र,negative
1313,fell,गिर,negative
1314,fever,वात,negative
1315,fickle,चंचल,negative
1316,fiction,काल्पनिक,negative
1317,fictional,काल्पनिक,negative
1318,fiend,के,negative
1319,fierce,बहतरीन,negative
1320,fist,मुट्ठी,negative
1321,flagging,फ्लैगिंग,negative
1322,flair,मज़ा,negative
1323,flake,पागल,negative
1324,flare,चमकाना,negative
1325,flaunt,लैक्मे,negative
1326,flaw,दोष,negative
1327,flawed,त्रुटिपूर्ण,negative
1328,flee,पिस्सू,negative
1329,fleeting,क्षणिक,negative
1330,flirt,फ्लर्ट,negative
1331,flirty,शोख,negative
1332,foe,दुश्मन,negative
1333,fool,बेवकूफ,negative
1334,fooled,ने,negative
1335,foolish,बेवकूफ,negative
1336,forbid,न,negative
1337,forbidden,वर्जित,negative
1338,forged,ने,negative
1339,foul,एक,negative
1340,fracture,फ्रैक्चर,negative
1341,fragile,दुर्बल,negative
1342,fraud,फ्रॉड,negative
1343,freak,सनकी,negative
1344,freaking,अनूठे,negative
1345,freaks,सामने,negative
1346,freeze,फ्रीज,negative
1347,freezing,हिमांक,negative
1348,fried,तला,negative
1349,fright,भय,negative
1350,frighten,फ्राइटन,negative
1351,frost,तैयार,negative
1352,frozen,जमे,negative
1353,frustrating,निराशाजनक,negative
1354,frustration,भड़ास,negative
1355,fucking,जबर्दस्त,negative
1356,fume,धुएं,negative
1357,funky,फंकी,negative
1358,funny,मजेदार,negative
1359,furious,फ्यूरियस,negative
1360,fury,कहर,negative
1361,fuss,उपद्रव,negative
1362,futile,व्यर्थ,negative
1363,fuzzy,फजी,negative
1364,gangster,गैंगस्टर,negative
1365,garbage,कचरा,negative
1366,gasp,सांस,negative
1367,glare,चमक,negative
1368,glitches,ग्लिचिस,negative
1369,gloom,निराशा,negative
1370,gloomy,उदास,negative
1371,goof,मूर्ख,negative
1372,gossip,गपशप,negative
1373,grate,घिस,negative
1374,greed,लालच,negative
1375,greedy,लालची,negative
1376,grievance,शिकायत,negative
1377,grievances,शिकायतों,negative
1378,grind,पीसने,negative
1379,gross,सकल,negative
1380,grouse,ग्रोउस,negative
1381,grudge,शिकायत,negative
1382,grumpy,क्रोधी,negative
1383,guilty,दोषी,negative
1384,gutter,गटर,negative
1385,hack,हैक,negative
1386,hang,लटका,negative
1387,hangs,ने,negative
1388,harassment,उत्पीड़न,negative
1389,hard,मुश्किल,negative
1390,hardship,कठिनाई,negative
1391,harm,नुकसान,negative
1392,harmful,हानिकारक,negative
1393,harsh,कठोर,negative
1394,hassle,परेशानी,negative
1395,hassles,बाधा,negative
1396,hate,नफरत,negative
1397,hated,नफ़रत,negative
1398,haters,हैर्ट्स,negative
1399,hatred,घृणा,negative
1400,haunting,बार,negative
1401,havoc,कहर,negative
1402,hazard,जोखिम,negative
1403,hazardous,खतरनाक,negative
1404,haze,गान्जा,negative
1405,headache,सिर,negative
1406,heartless,हृदयहीन,negative
1407,heck,निकलो,negative
1408,hectic,व्यस्त,negative
1409,hedge,बचाव,negative
1410,hefty,पर,negative
1411,heinous,जघन्य,negative
1412,hell,नरक,negative
1413,hells,हीलें,negative
1414,heresy,हरसे,negative
1415,hinder,बनी,negative
1416,hogs,सूअर,negative
1417,hollow,खोखला,negative
1418,hopeless,निराशाजनक,negative
1419,hopelessly,निराशाजनक,negative
1420,hopelessness,निराशा,negative
1421,horde,होर्ड,negative
1422,horrible,भयानक,negative
1423,hostile,नकारात्मक,negative
1424,hostilities,लोग,negative
1425,hostility,दुश्मनी,negative
1426,hum,द,negative
1427,humid,नमी,negative
1428,hung,लटका,negative
1429,hurt,चोट,negative
1430,hurting,को,negative
1431,hurts,दर्द,negative
1432,hype,प्रचार,negative
1433,idiot,बेवकूफ,negative
1434,idiots,बेवकूफ,negative
1435,idle,निष्क्रिय,negative
1436,ignorance,अज्ञानता,negative
1437,ignorant,अज्ञानी,negative
1438,ignore,को,negative
1439,illegal,अवैध,negative
1440,illiterate,इन,negative
1441,illness,बीमारी,negative
1442,illusion,भ्रम,negative
1443,illusions,भ्रम,negative
1444,immoral,अग्निवर्ण,negative
1445,impatient,अधीर,negative
1446,impatiently,बेसब्री,negative
1447,impedance,प्रतिबाधा,negative
1448,impediment,रुकावट,negative
1449,impending,आनेवाली,negative
1450,imperfect,अपूर्ण,negative
1451,imperfectly,अपूर्ण,negative
1452,implication,प्रभाव,negative
1453,impose,लागू,negative
1454,impossible,असंभव,negative
1455,impractical,नेहरु,negative
1456,impulsive,ये,negative
1457,inaccuracies,गलतियों,negative
1458,inaccuracy,गलती,negative
1459,inaccurate,अनुचित,negative
1460,inactive,निष्क्रिय,negative
1461,inappropriate,अनुपयुक्त,negative
1462,inclement,खराब,negative
1463,incomplete,अपूर्ण,negative
1464,inconsistent,असंगत,negative
1465,inconvenience,असुविधा,negative
1466,incorrect,गलत,negative
1467,indignant,क्रोधित,negative
1468,indignation,क्रोध,negative
1469,indulge,खो,negative
1470,ineligible,अयोग्य,negative
1471,inequality,असमानता,negative
1472,inevitable,ज़रुरी,negative
1473,inexperienced,अनुभवहीन,negative
1474,infected,संक्रमित,negative
1475,infection,संक्रमण,negative
1476,infections,संक्रमण,negative
1477,infernal,नारकीय,negative
1478,inflammatory,ज्वलनशील,negative
1479,infringement,उल्लंघन,negative
1480,inhibition,अवरोधन,negative
1481,injurious,हानिकारक,negative
1482,injury,चोट,negative
1483,injustice,अन्याय,negative
1484,insane,पागल,negative
1485,insanity,सबब,negative
1486,insatiable,लालची,negative
1487,insecurity,असुरक्षा,negative
1488,insensitive,असंवेदनशील,negative
1489,insufficient,अपर्याप्त,negative
1490,insult,अपमान,negative
1491,insulting,अपमान,negative
1492,insurmountable,दूर,negative
1493,intense,प्रचण्ड,negative
1494,interfere,हस्तक्षेप,negative
1495,interference,दखल,negative
1496,intermittent,रुक,negative
1497,intolerable,असहनीय,negative
1498,intolerance,असहिष्णुता,negative
1499,intrusion,आतंकवादी,negative
1500,invader,इन्वेडर,negative
1501,invalid,अमान्य,negative
1502,invasive,आक्रामक,negative
1503,invisible,अदृश्य,negative
1504,irony,विडम्बना,negative
1505,irregular,टायर,negative
1506,irregularity,की,negative
1507,irritable,इर्रिटेबल,negative
1508,irritate,जलन,negative
1509,irritating,तकलीफदेह,negative
1510,irritation,जलन,negative
1511,irritations,जलन,negative
1512,isolate,अलग,negative
1513,isolated,एकांत,negative
1514,issue,मुद्दा,negative
1515,issues,मुद्दे,negative
1516,itch,खुजली,negative
1517,itching,खुजली,negative
1518,itchy,खुजली,negative
1519,jagged,दांतेदार,negative
1520,jam,जाम,negative
1521,jealous,जलन,negative
1522,jealousy,डाह,negative
1523,jeopardize,खतरे,negative
1524,jeopardy,खतरे,negative
1525,jerk,झटकें,negative
1526,jerky,जर्की,negative
1527,joke,मजाक,negative
1528,junk,जंक,negative
1529,kill,मारना,negative
1530,killed,मारा,negative
1531,killer,किलर,negative
1532,killing,मार,negative
1533,kills,मारता,negative
1534,knife,चाकू,negative
1535,knock,दस्तक,negative
1536,lack,कमी,negative
1537,lacking,कमी,negative
1538,lacks,का,negative
1539,lag,अंतराल,negative
1540,lags,पीछे,negative
1541,lame,कमजोर,negative
1542,lapse,चूक,negative
1543,lazy,आलसी,negative
1544,leak,रिसाव,negative
1545,leakage,लीकेज,negative
1546,leaking,लीक,negative
1547,leaks,लीक,negative
1548,lemon,नींबू,negative
1549,lengthy,लंबी,negative
1550,lethal,जानलेवा,negative
1551,lethargic,सुस्त,negative
1552,liability,दायित्व,negative
1553,liable,उत्तरदायी,negative
1554,liar,झूठे,negative
1555,liars,के,negative
1556,lie,झूठ,negative
1557,lied,झूठ,negative
1558,lier,बहुत,negative
1559,lies,झूठ,negative
1560,limit,सीमा,negative
1561,limitation,सीमा,negative
1562,limitations,सीमाओं,negative
1563,limited,सीमित,negative
1564,limits,सीमा,negative
1565,limp,लिम्प,negative
1566,loathe,नफरत,negative
1567,loathing,घृणा,negative
1568,lone,लोन,negative
1569,loneliness,तन्हाई,negative
1570,lonely,अकेला,negative
1571,loose,ढीला,negative
1572,loot,लूट,negative
1573,lose,खोना,negative
1574,loser,हारने,negative
1575,losers,फिसड्डियों,negative
1576,loses,हारी,negative
1577,losing,घटाना,negative
1578,loss,हानि,negative
1579,losses,हानियों,negative
1580,lost,खोया,negative
1581,loud,जोर,negative
1582,louder,की,negative
1583,lukewarm,गुनगुने,negative
1584,lure,प्रलोभन,negative
1585,lying,झूठ,negative
1586,mad,पागल,negative
1587,maddening,ही,negative
1588,madly,पागल,negative
1589,madman,मैडमैन,negative
1590,madness,पागलपन,negative
1591,malicious,खराब,negative
1592,malignant,घातक,negative
1593,mania,उन्माद,negative
1594,manipulate,हेरफेर,negative
1595,manipulation,हेरफेर,negative
1596,mar,मार,negative
1597,marginal,सीमांत,negative
1598,martyrdom,तौर,negative
1599,mashed,मैश,negative
1600,massacre,नरसंहार,negative
1601,matte,मैट,negative
1602,mediocre,अजीब,negative
1603,mess,गड़बड़,negative
1604,mindless,नासमझ,negative
1605,miscellaneous,विविध,negative
1606,mischief,शरारत,negative
1607,misconception,धारणा,negative
1608,misconceptions,गलतफहमी,negative
1609,miserable,चालाक,negative
1610,misery,दुख,negative
1611,misguided,गुमराह,negative
1612,mislead,गुमराह,negative
1613,misleading,भ्रामक,negative
1614,miss,याद,negative
1615,missed,याद,negative
1616,mist,धुंध,negative
1617,mistake,गलती,negative
1618,mistaken,गलत,negative
1619,mistakes,गलतियाँ,negative
1620,mistress,मालकिन,negative
1621,misunderstand,गलत,negative
1622,misunderstanding,गलतफहमी,negative
1623,misunderstood,गलत,negative
1624,misuse,दुरुपयोग,negative
1625,moan,विलाप,negative
1626,mock,नकली,negative
1627,mocked,का,negative
1628,molestation,दुष्कर्म,negative
1629,monster,राक्षस,negative
1630,moot,विवादास्पद,negative
1631,moron,मूर्ख,negative
1632,motionless,स्थिर,negative
1633,mourn,ने,negative
1634,muddy,गंदा,negative
1635,murder,हत्या,negative
1636,murderer,मार,negative
1637,musty,बासी,negative
1638,mystery,रहस्य,negative
1639,myth,मिथक,negative
1640,nagging,परेशान,negative
1641,naive,भोले,negative
1642,narrower,क्या,negative
1643,nasty,गंदी,negative
1644,naughty,शरारती,negative
1645,needlessly,बेवजह,negative
1646,needy,जरूरतमंद,negative
1647,negative,नकारात्मक,negative
1648,negligence,लापरवाही,negative
1649,nervous,तंत्रिका,negative
1650,nightmare,बुरे,negative
1651,noise,शोर,negative
1652,noisy,शोर,negative
1653,nonsense,बकवास,negative
1654,nuisance,बनी,negative
1655,numb,सुन्न,negative
1656,obese,मोटे,negative
1657,object,वस्तु,negative
1658,objection,आपत्ति,negative
1659,objectionable,आपत्तिजनक,negative
1660,objections,आपत्ति,negative
1661,obscene,अश्लील,negative
1662,obsessive,ज़ुनूनी,negative
1663,obstructing,बाधा,negative
1664,odd,विषम,negative
1665,oddity,विषमता,negative
1666,odor,गंध,negative
1667,offence,अपराध,negative
1668,offender,अपराधी,negative
1669,offensive,अपमानजनक,negative
1670,omission,चूक,negative
1671,opponent,प्रतिद्वंद्वी,negative
1672,opposition,मुखर,negative
1673,oppression,उत्पीड़न,negative
1674,outsider,यह,negative
1675,overdue,काफी,negative
1676,overloaded,ओवरलोडेड,negative
1677,overpriced,अत्यधिक,negative
1678,overrated,अहंकारी,negative
1679,oversight,पर्यवेक्षण,negative
1680,overwhelming,भारी,negative
1681,pain,दर्द,negative
1682,painful,दर्दनाक,negative
1683,pains,पीड़ा,negative
1684,pale,पीली,negative
1685,pan,पैन,negative
1686,panic,आकस्मिक,negative
1687,paranoid,पागल,negative
1688,parody,पैरोडी,negative
1689,passe,पुराने,negative
1690,passive,परोक्ष,negative
1691,pathetic,दयनीय,negative
1692,paucity,कमी,negative
1693,payback,ऋण,negative
1694,penalty,दंड,negative
1695,peril,पेरिल,negative
1696,pessimistic,निराशावादी,negative
1697,pest,कीट,negative
1698,petrified,सख्त,negative
1699,petty,खुदरा,negative
1700,pig,सुअर,negative
1701,pigs,सूअर,negative
1702,pinch,चुटकी,negative
1703,pity,बेचारा,negative
1704,plague,प्लेग,negative
1705,plea,याचिकाओं,negative
1706,pleas,कृपया,negative
1707,plight,आंसू,negative
1708,plot,प्लॉट,negative
1709,ploy,पॉली,negative
1710,poison,विष,negative
1711,poisonous,जहरीली,negative
1712,pollute,मैली,negative
1713,polution,प्रदूषण,negative
1714,poor,गरीब,negative
1715,poorly,खराब,negative
1716,poverty,गरीबी,negative
1717,predatory,दरिंदगी,negative
1718,prejudice,पूर्वाग्रह,negative
1719,pretend,का,negative
1720,prick,चुभाया,negative
1721,primitive,प्राथमिक,negative
1722,prison,जेल,negative
1723,prisoner,कैदी,negative
1724,problem,समस्या,negative
1725,problems,समस्याएं,negative
1726,profanity,गाली,negative
1727,prohibitively,बेहद,negative
1728,proprietary,मालिकाना,negative
1729,protest,पानी,negative
1730,protesting,विरोध,negative
1731,protests,सरकार,negative
1732,punch,पंच,negative
1733,punish,दंडित,negative
1734,punishable,दंडनीय,negative
1735,punitive,दंडात्मक,negative
1736,punk,पंक,negative
1737,puppet,कठपुतली,negative
1738,puzzled,हैरान,negative
1739,queer,क्वीयर,negative
1740,rabid,पागल,negative
1741,racism,कि,negative
1742,racist,जातिवाद,negative
1743,radical,मूलक,negative
1744,rage,क्रोध,negative
1745,raging,लगाना,negative
1746,rail,रेल,negative
1747,rampage,की,negative
1748,randomly,अचानक,negative
1749,rape,रेप,negative
1750,raped,आबरू,negative
1751,rash,रेश,negative
1752,recession,मंदी,negative
1753,reckless,लापरवाह,negative
1754,recoil,वापसी,negative
1755,redundancy,अतिरिक्तता,negative
1756,redundant,निरर्थक,negative
1757,refusal,से,negative
1758,refuse,मना,negative
1759,refused,मना,negative
1760,refusing,मना,negative
1761,regression,प्रतिगमन,negative
1762,regret,अफसोस,negative
1763,regrets,पछतावे,negative
1764,reject,रिजेक्ट,negative
1765,rejected,रिजेक्ट,negative
1766,rejection,अस्वीकृति,negative
1767,rejects,ने,negative
1768,relentless,इरादा,negative
1769,remorse,पछतावा,negative
1770,repetitive,दोहराए,negative
1771,repulsive,प्रतिकारक,negative
1772,resent,गुस्सा,negative
1773,resignation,इस्तीफा,negative
1774,resigned,त्याग,negative
1775,resistance,प्रतिरोध,negative
1776,restless,बेचैन,negative
1777,restlessness,बैचेनी,negative
1778,restricted,प्रतिबंधित,negative
1779,retard,मंदबुद्धि,negative
1780,retarded,मंदबुद्धि,negative
1781,retreat,पीछे,negative
1782,revenge,प्रतिशोध,negative
1783,rhetorical,वाकपटुता,negative
1784,rift,दरार,negative
1785,rigid,सख्त,negative
1786,rip,आरआईपी,negative
1787,ripoff,रिपोफ,negative
1788,ripped,रिप्पड़,negative
1789,risk,जोखिम,negative
1790,risks,जोखिम,negative
1791,rival,प्रतिद्वंद्वी,negative
1792,rocky,रॉकी,negative
1793,rogue,दुष्ट,negative
1794,rotten,सड़ा,negative
1795,rough,रफ,negative
1796,rubbish,बकवास,negative
1797,rude,अशिष्ट,negative
1798,rue,रुए,negative
1799,ruin,बर्बाद,negative
1800,ruined,का,negative
1801,ruining,को,negative
1802,ruins,खंडहर,negative
1803,rumor,अफ़वाह,negative
1804,rumors,अफवाहों,negative
1805,rumours,अफवाहें,negative
1806,runaway,भगोड़ा,negative
1807,rust,जंग,negative
1808,ruthless,ग़लती,negative
1809,sack,बोरी,negative
1810,sad,दुख,negative
1811,sadden,उदास,negative
1812,sadness,बदली,negative
1813,sagging,ढीली,negative
1814,sap,एसएपी,negative
1815,sarcastic,व्यंग्यात्मक,negative
1816,satirical,अपनी,negative
1817,scam,घोटाला,negative
1818,scams,धांधली,negative
1819,scandal,घोटाले,negative
1820,scandalous,सनसनीखेज,negative
1821,scar,वह,negative
1822,scare,डर,negative
1823,scared,डर,negative
1824,scary,डरावना,negative
1825,sceptical,संशयी,negative
