,eng,lexicon,hindi
2117,aloof,negative,अलग
2120,ambiguous,negative,अस्पष्ट
2129,anarchy,negative,अराजकता
2131,anger,negative,उबाल
2134,angry,negative,गुस्सा
2139,annoy,negative,परेशान
2142,annoyed,negative,नाराज
2143,annoying,negative,नखरीली
2145,annoys,negative,गुस्सा
2149,antagonist,negative,विलन
2165,anxiety,negative,चिंता
2166,anxious,negative,उत्सुक
2172,apocalypse,negative,सर्वनाश
2185,arbitrary,negative,मनमाना
2192,arrogant,negative,एरोगेंट
2194,ashamed,negative,शर्मिंदा
2203,assassin,negative,असैसिन
2205,assault,negative,हमला
2210,atrocities,negative,दुष्कर्म
2213,attack,negative,हमला
2214,attacks,negative,हमले
2224,avalanche,negative,हिमस्खलन
2229,averse,negative,के
2232,awful,negative,बहुत
2235,awkward,negative,अजीब
2237,ax,negative,एएक्स
2242,backache,negative,पीठदर्द
2247,backward,negative,पीछे
2251,bad,negative,बुरा
2252,badly,negative,बुरी
2264,bankrupt,negative,दिवालिया
2273,bash,negative,बैश
2277,bastard,negative,कमीने
2278,bastards,negative,कमीने
2279,battered,negative,पीड़ित
2287,beg,negative,भीख
2288,beggar,negative,भिखारी
2290,begging,negative,भीख
2293,belated,negative,विलम्बित
2301,belligerent,negative,जुझारू
2306,bent,negative,आमादा
2309,bereavement,negative,शोक
2318,betrayal,negative,धोखा
2324,beware,negative,सावधान
2327,bewildering,negative,विस्मयकारी
2331,bias,negative,पक्षपात
2332,biased,negative,पक्षपाती
2341,biting,negative,काटना
2343,bitter,negative,कड़वा
2346,bizarre,negative,विचित्र
2350,blah,negative,ब्ला
2351,blame,negative,दोष
2353,bland,negative,फीका
2365,bleed,negative,खून
2366,bleeding,negative,ब्लीडिंग
2368,blemish,negative,दाग
2369,blind,negative,अंधा
2373,blister,negative,छाला
2375,bloated,negative,ब्लोटेड
2380,bloody,negative,खूनी
2382,blow,negative,आघात
2386,blunt,negative,कुंद
2387,blur,negative,धुंधलापन
2389,blurred,negative,धुंधली
2390,blurring,negative,ब्लर्रिंग
2396,bogus,negative,पदों
2397,boil,negative,उबालने
2398,boiling,negative,उबलना
2399,boisterous,negative,मस्ती
2400,bomb,negative,बम
2401,bombard,negative,ने
2406,bore,negative,बोर
2407,bored,negative,ऊबना
2408,boredom,negative,बोरियत
2410,boring,negative,उबाऊ
2412,bother,negative,परेशान
2414,bothering,negative,परेशान
2415,bothers,negative,परेशान
2418,boycott,negative,बहिष्कार
2426,brat,negative,साहबजादा
2431,breach,negative,उल्लंघन
2432,break,negative,ब्रेक
2435,breakdown,negative,टूटना
2436,breaking,negative,ब्रेकिंग
2437,breaks,negative,टूट
2440,bribery,negative,ने
2443,brittle,negative,की
2444,broke,negative,तोड़
2445,broken,negative,टूटा
2452,bruising,negative,चोट
2454,brutal,negative,क्रूर
2461,brute,negative,पाशविक
2463,bs,negative,बी
2464,buckle,negative,बकल
2465,bug,negative,बग
2467,buggy,negative,बगी
2468,bugs,negative,कीड़े
2475,bullies,negative,बुलीज
2476,bullshit,negative,बकवास
2478,bully,negative,बुली
2479,bullying,negative,बदमाशी
2482,bump,negative,अर्चन
2486,bumps,negative,घाव
2491,bunk,negative,बंक
2492,burden,negative,बोझ
2495,burn,negative,जलाना
2496,burned,negative,फूंका
2497,burning,negative,जलना
2498,burns,negative,जला
2499,bust,negative,सीना
2502,butcher,negative,कसाई
2507,calamities,negative,आपदाएं
2510,calamity,negative,आपदा
2518,cancer,negative,कैंसर
2520,cannibal,negative,नरभक्षक
2523,capricious,negative,मौजी
2527,careless,negative,लापरवाह
2529,caricature,negative,कार्टून
2531,carp,negative,कार्प
2536,casualty,negative,घायल
2541,catastrophe,negative,तबाही
2549,cave,negative,गुफा
2554,challenging,negative,रहा
2555,chaos,negative,हलचल
2562,cheap,negative,सस्ते
2565,cheat,negative,धोखा
2566,cheated,negative,धोखा
2568,cheating,negative,धोखा
2569,cheats,negative,छिपा
2574,childish,negative,बचकाना
2575,chill,negative,चिल
2576,chilly,negative,मिर्च
2581,chore,negative,का
2582,chronic,negative,चिरकालिक
2591,clogged,negative,जाम
2593,cloud,negative,क्लाउड
2595,cloudy,negative,बादल
2596,clueless,negative,अंजान
2598,clunky,negative,भद्दी
2599,coarse,negative,अपरिष्कृत
2602,coercion,negative,मानस
2604,cold,negative,ठंड
2606,collapse,negative,ढहना
2611,comical,negative,आनंदप्रद
2614,commotion,negative,मची
2617,complain,negative,शिकायत
2619,complaining,negative,शिकायत
2621,complaint,negative,शिकायत
2622,complaints,negative,शिकायतें
2623,complex,negative,जटिल
2624,complicated,negative,जटिल
2628,compulsive,negative,बाध्यकारी
2635,concern,negative,चिंता
2636,concerned,negative,चिंतित
2637,concerns,negative,चिंता
2649,confess,negative,मानता
2650,confession,negative,गल्ती
2652,confined,negative,सीमित
2653,conflict,negative,संघर्ष
2655,conflicting,negative,विरोधाभाषी
2656,conflicts,negative,विरोधों
2658,confounded,negative,हैरान
2659,confounding,negative,गड़बड़ी
2664,confused,negative,उलझन
2666,confusing,negative,भ्रामक
2667,confusion,negative,असमंजस
2670,congestion,negative,रुकावट़
2671,cons,negative,विपक्ष
2673,conservative,negative,कंजर्वेटिव
2674,conspicuous,negative,प्रत्यक्ष
2677,conspiracy,negative,गहरी
2681,consternation,negative,घबराहट
2682,contagious,negative,संक्रामक
2684,contaminated,negative,गांव
2687,contamination,negative,संदूषण
2688,contempt,negative,अवहेलना
2704,controversial,negative,विवादास्पद
2705,controversy,negative,कंट्रोवर्सी
2708,corrosion,negative,जंग
2710,corrosive,negative,संक्षारक
2711,corrupt,negative,भ्रष्ट
2712,corrupted,negative,भ्रष्ट
2714,corruption,negative,भ्रष्टाचार
2717,costlier,negative,महंगे
2718,costly,negative,महंगा
2726,crack,negative,क्रैक
2727,cracked,negative,टूटी
2728,cracks,negative,दरार
2736,crap,negative,इस
2739,crash,negative,दुर्घटना
2740,crashed,negative,दुर्घटनाग्रस्त
2741,crashes,negative,करने
2742,crashing,negative,दुर्घटनाग्रस्त
2749,crazy,negative,पागल
2754,creep,negative,डरावना
2755,creeping,negative,रेंगती
2756,creeps,negative,चिंताएं
2757,creepy,negative,डरावने
2759,crime,negative,अपराध
2760,criminal,negative,आपराधिक
2766,cripples,negative,अपंग
2768,crisis,negative,संकट
2769,critic,negative,आलोचक
2770,critical,negative,महत्वपूर्ण
2771,criticism,negative,आलोचना
2772,criticisms,negative,रूढ़िवादि
2775,criticizing,negative,आलोचना
2776,critics,negative,आलोचकों
2778,crook,negative,बदमाश
2779,crooked,negative,कुटिल
2780,crooks,negative,बदमाश
2781,crowded,negative,भीड़
2783,crude,negative,कच्चा
2790,cruelty,negative,क्रूरता
2792,crumbling,negative,पेस्ट्री
2797,crush,negative,क्रश
2798,crushed,negative,कुचला
2800,cry,negative,रोना
2807,curse,negative,अभिशाप
2811,cuss,negative,कसम
2817,damage,negative,क्षति
2818,damaged,negative,क्षतिग्रस्त
2819,damages,negative,हर्जाना
2820,damaging,negative,को
2821,damn,negative,लानत
2825,damned,negative,अभिशप्त
2828,danger,negative,खतरा
2829,dangerous,negative,खतरनाक
2831,dark,negative,गहरा
2835,darkness,negative,अंधेरा
2842,daze,negative,डेज
2843,dazed,negative,घबराया
2844,dead,negative,मृत
2847,deadly,negative,घातक
2849,deaf,negative,बहरा
2851,death,negative,मृत्यु
2863,debt,negative,ऋण
2864,debts,negative,ऋण
2866,decadent,negative,अनैतिक
2867,decay,negative,क्षय
2869,deceit,negative,धोखा
2870,deceitful,negative,ये
2873,deceive,negative,धोखा
2876,deceiving,negative,धोखा
2877,deception,negative,ने
2881,decline,negative,गिरावट
2882,declines,negative,का
2888,defamation,negative,मानहानि
2892,defect,negative,दोष
2893,defective,negative,दोषपूर्ण
2894,defects,negative,दोष
2895,defensive,negative,रक्षात्मक
2899,deficiencies,negative,विकारों
2900,deficiency,negative,डेफिसिएंसी
2908,defy,negative,को
2911,degeneration,negative,अध
2912,degradation,negative,में
2923,delay,negative,देरी
2924,delayed,negative,देरी
2926,delays,negative,ऑपरेशन
2934,delusion,negative,की
2939,demise,negative,मौत
2942,demon,negative,दानव
2951,denial,negative,इनकार
2952,denied,negative,इनकार
2956,dense,negative,सघन
2959,dents,negative,खरोंच
2963,deny,negative,इनकार
2965,deplete,negative,खाली
2976,depressed,negative,उदास
2979,depression,negative,डिप्रेशन
2982,deprived,negative,वंचित
2990,desert,negative,रेगिस्तान
2998,despair,negative,निराशा
3001,desperate,negative,मायूस
3003,desperation,negative,हताशा
3021,destroy,negative,नष्ट
3023,destruction,negative,विनाश
3024,destructive,negative,विनाशकारी
3026,deter,negative,को
3030,deterrent,negative,निवारक
3049,devastation,negative,तबाही
3051,deviation,negative,विचलन
3052,devil,negative,शैतान
3057,devious,negative,कुटिल
3060,devoid,negative,रहित
3068,dick,negative,लंड
3071,die,negative,मरना
3073,died,negative,मर
3074,dies,negative,की
3075,difficult,negative,मुश्किल
3076,difficulties,negative,में
3077,difficulty,negative,बड़ी
3080,dilemma,negative,दुविधा
3082,dim,negative,मंद
3083,dimmer,negative,मद्धम
3085,ding,negative,डिंग
3086,dings,negative,खनखन
3088,dire,negative,डायर
3091,dirt,negative,वाली
3095,dirty,negative,गंदा
3096,disable,negative,निष्क्रिय
3097,disabled,negative,अक्षम
3099,disadvantage,negative,नुकसान
3102,disadvantages,negative,नुकसान
3106,disagree,negative,असहमत
3111,disagreement,negative,धक्कामुक्की
3117,disappoint,negative,को
3118,disappointed,negative,निराश
3119,disappointing,negative,निराशाजनक
3122,disappointments,negative,निराशा
3130,disaster,negative,आपदा
3132,disastrous,negative,विनाशकारी
3143,discomfort,negative,में
3155,discontinued,negative,बंद
3158,discord,negative,कलह
3162,discourage,negative,को
3172,discrimination,negative,भेदभाव
3174,disdain,negative,घृणा
3179,disgrace,negative,अपमान
3195,dishonest,negative,बेईमान
3198,dishonor,negative,अनादर
3215,dislike,negative,नापसंदगी
3217,dislikes,negative,नापसंद
3219,dislocated,negative,अव्यवस्थित
3231,disobedience,negative,अवज्ञा
3235,disorder,negative,विकार
3259,dispute,negative,विवाद
3260,disputed,negative,विवादित
3277,disruption,negative,व्यवधान
3285,dissatisfied,negative,असंतुष्ट
3289,dissed,negative,का
3305,dissonance,negative,मतभेद
3316,distortion,negative,डिस्टोर्शन
3324,distress,negative,संकट
3331,disturb,negative,परेशान
3332,disturbance,negative,हंगामा
3344,dizzy,negative,चक्कर
3354,doom,negative,कयामत
3357,dope,negative,डोप
3358,doubt,negative,शक
3359,doubtful,negative,संदिग्ध
3361,doubts,negative,संदेह
3374,downside,negative,सवाल
3381,drag,negative,खींचें
3386,drain,negative,नाली
3387,drained,negative,वाली
3390,drastic,negative,भारी
3392,drawback,negative,ड्रॉबैक
3395,dreadful,negative,भयानक
3408,dropout,negative,छोड़ने
3410,drought,negative,सूखे
3411,drowning,negative,डूब
3412,drunk,negative,नशे
3415,dubious,negative,इस
3419,dull,negative,सुस्त
3421,dumb,negative,गूंगा
3423,dump,negative,डंप
3424,dumped,negative,की
3428,dungeon,negative,कालकोठरी
3431,dust,negative,धूल
3432,dusty,negative,गन्दे
3434,dying,negative,दम
3448,elimination,negative,निष्कासन
3451,embarrass,negative,शर्मिंदा
3452,embarrassing,negative,शर्मनाक
3459,emergency,negative,आपातकालीन
3466,enemies,negative,दुश्मन
3467,enemy,negative,दुश्मन
3478,entangle,negative,को
3482,envious,negative,सम्मोहक
3485,epidemic,negative,संक्रामक
3487,erase,negative,मिटा
3490,erosion,negative,कटाव
3497,error,negative,त्रुटि
3498,errors,negative,त्रुटियां
3500,escapade,negative,एस्कपेड
3504,evasion,negative,की
3506,evil,negative,बुराई
3515,exaggeration,negative,अतिशयोक्ति
3521,excessive,negative,अत्यधिक
3522,excessively,negative,देना
3523,exclusion,negative,अपवर्जन
3527,excuse,negative,बहाना
3528,excuses,negative,बहाने
3530,exhaust,negative,निकास
3531,exhausted,negative,थका
3541,expensive,negative,महंगा
3542,expire,negative,समाप्त
3543,expired,negative,समाप्त
3544,explode,negative,लगभग
3545,exploit,negative,शोषित
3546,exploitation,negative,शोषण
3547,explosive,negative,विस्फोटक
3554,extinguish,negative,कब
3559,extravagant,negative,खर्चीले
3567,fabrication,negative,निर्माण
3570,fail,negative,विफल
3571,failed,negative,विफल
3573,fails,negative,विफल
3574,failure,negative,विफलता
3575,failures,negative,विफलता
3576,faint,negative,कमजोर
3579,fake,negative,नकली
3580,fall,negative,पड़ना
3586,fallen,negative,प्यार
3587,falling,negative,गिरना
3589,falls,negative,नीचे
3590,false,negative,बनावटी
3596,famine,negative,दुष्काल
3598,fanatic,negative,कट्टर
3602,fanatics,negative,फैनाटिक्स
3605,farce,negative,को
3610,fascism,negative,फासीवाद
3611,fascist,negative,फासीवादी
3615,fat,negative,वसा
3618,fatal,negative,घातक
3627,fatigue,negative,थकान
3630,fatty,negative,फैटी
3634,fault,negative,आखिर
3636,faulty,negative,दोषपूर्ण
3639,fear,negative,डर
3642,fears,negative,भय
3644,feckless,negative,बेफिक्र
3650,fell,negative,गिर
3656,fever,negative,वात
3662,fickle,negative,चंचल
3663,fiction,negative,काल्पनिक
3664,fictional,negative,काल्पनिक
3668,fiend,negative,के
3670,fierce,negative,बहतरीन
3677,fist,negative,मुट्ठी
3680,flagging,negative,फ्लैगिंग
3683,flair,negative,मज़ा
3686,flake,negative,पागल
3691,flare,negative,चमकाना
3696,flaunt,negative,लैक्मे
3697,flaw,negative,दोष
3698,flawed,negative,त्रुटिपूर्ण
3700,flee,negative,पिस्सू
3705,fleeting,negative,क्षणिक
3713,flirt,negative,फ्लर्ट
3714,flirty,negative,शोख
3720,foe,negative,दुश्मन
3721,fool,negative,बेवकूफ
3722,fooled,negative,ने
3724,foolish,negative,बेवकूफ
3727,forbid,negative,न
3728,forbidden,negative,वर्जित
3734,forged,negative,ने
3743,foul,negative,एक
3748,fracture,negative,फ्रैक्चर
3749,fragile,negative,दुर्बल
3755,fraud,negative,फ्रॉड
3760,freak,negative,सनकी
3761,freaking,negative,अनूठे
3764,freaks,negative,सामने
3765,freeze,negative,फ्रीज
3767,freezing,negative,हिमांक
3777,fried,negative,तला
3780,fright,negative,भय
3781,frighten,negative,फ्राइटन
3787,frost,negative,तैयार
3790,frozen,negative,जमे
3796,frustrating,negative,निराशाजनक
3798,frustration,negative,भड़ास
3801,fucking,negative,जबर्दस्त
3807,fume,negative,धुएं
3810,funky,negative,फंकी
3812,funny,negative,मजेदार
3813,furious,negative,फ्यूरियस
3816,fury,negative,कहर
3817,fuss,negative,उपद्रव
3821,futile,negative,व्यर्थ
3824,fuzzy,negative,फजी
3834,gangster,negative,गैंगस्टर
3836,garbage,negative,कचरा
3838,gasp,negative,सांस
3858,glare,negative,चमक
3863,glitches,negative,ग्लिचिस
3865,gloom,negative,निराशा
3866,gloomy,negative,उदास
3874,goof,negative,मूर्ख
3877,gossip,negative,गपशप
3883,grate,negative,घिस
3887,greed,negative,लालच
3888,greedy,negative,लालची
3890,grievance,negative,शिकायत
3891,grievances,negative,शिकायतों
3898,grind,negative,पीसने
3903,gross,negative,सकल
3909,grouse,negative,ग्रोउस
3911,grudge,negative,शिकायत
3923,grumpy,negative,क्रोधी
3927,guilty,negative,दोषी
3930,gutter,negative,गटर
3931,hack,negative,हैक
3943,hang,negative,लटका
3944,hangs,negative,ने
3951,harassment,negative,उत्पीड़न
3954,hard,negative,मुश्किल
3965,hardship,negative,कठिनाई
3967,harm,negative,नुकसान
3969,harmful,negative,हानिकारक
3975,harsh,negative,कठोर
3978,hassle,negative,परेशानी
3980,hassles,negative,बाधा
3984,hate,negative,नफरत
3985,hated,negative,नफ़रत
3990,haters,negative,हैर्ट्स
3993,hatred,negative,घृणा
3997,haunting,negative,बार
3998,havoc,negative,कहर
4001,hazard,negative,जोखिम
4002,hazardous,negative,खतरनाक
4003,haze,negative,गान्जा
4006,headache,negative,सिर
4011,heartless,negative,हृदयहीन
4015,heck,negative,निकलो
4019,hectic,negative,व्यस्त
4020,hedge,negative,बचाव
4023,hefty,negative,पर
4027,heinous,negative,जघन्य
4028,hell,negative,नरक
4031,hells,negative,हीलें
4035,heresy,negative,हरसे
4045,hinder,negative,बनी
4054,hogs,negative,सूअर
4055,hollow,negative,खोखला
4059,hopeless,negative,निराशाजनक
4060,hopelessly,negative,निराशाजनक
4061,hopelessness,negative,निराशा
4062,horde,negative,होर्ड
4065,horrible,negative,भयानक
4074,hostile,negative,नकारात्मक
4075,hostilities,negative,लोग
4076,hostility,negative,दुश्मनी
4083,hum,negative,द
4084,humid,negative,नमी
4089,hung,negative,लटका
4090,hurt,negative,चोट
4093,hurting,negative,को
4094,hurts,negative,दर्द
4096,hype,negative,प्रचार
4110,idiot,negative,बेवकूफ
4113,idiots,negative,बेवकूफ
4114,idle,negative,निष्क्रिय
4119,ignorance,negative,अज्ञानता
4120,ignorant,negative,अज्ञानी
4121,ignore,negative,को
4137,illegal,negative,अवैध
4141,illiterate,negative,इन
4142,illness,negative,बीमारी
4146,illusion,negative,भ्रम
4147,illusions,negative,भ्रम
4161,immoral,negative,अग्निवर्ण
4169,impatient,negative,अधीर
4170,impatiently,negative,बेसब्री
4172,impedance,negative,प्रतिबाधा
4174,impediment,negative,रुकावट
4175,impending,negative,आनेवाली
4177,imperfect,negative,अपूर्ण
4180,imperfectly,negative,अपूर्ण
4197,implication,negative,प्रभाव
4204,impose,negative,लागू
4208,impossible,negative,असंभव
4214,impractical,negative,नेहरु
4233,impulsive,negative,ये
4239,inaccuracies,negative,गलतियों
4240,inaccuracy,negative,गलती
4241,inaccurate,negative,अनुचित
4244,inactive,negative,निष्क्रिय
4254,inappropriate,negative,अनुपयुक्त
4271,inclement,negative,खराब
4285,incomplete,negative,अपूर्ण
4302,inconsistent,negative,असंगत
4306,inconvenience,negative,असुविधा
4308,incorrect,negative,गलत
4330,indignant,negative,क्रोधित
4332,indignation,negative,क्रोध
4345,indulge,negative,खो
4359,ineligible,negative,अयोग्य
4366,inequality,negative,असमानता
4373,inevitable,negative,ज़रुरी
4380,inexperienced,negative,अनुभवहीन
4390,infected,negative,संक्रमित
4391,infection,negative,संक्रमण
4392,infections,negative,संक्रमण
4395,infernal,negative,नारकीय
4405,inflammatory,negative,ज्वलनशील
4413,infringement,negative,उल्लंघन
4423,inhibition,negative,अवरोधन
4435,injurious,negative,हानिकारक
4436,injury,negative,चोट
4437,injustice,negative,अन्याय
4444,insane,negative,पागल
4446,insanity,negative,सबब
4447,insatiable,negative,लालची
4449,insecurity,negative,असुरक्षा
4451,insensitive,negative,असंवेदनशील
4482,insufficient,negative,अपर्याप्त
4485,insult,negative,अपमान
4487,insulting,negative,अपमान
4492,insurmountable,negative,दूर
4497,intense,negative,प्रचण्ड
4498,interfere,negative,हस्तक्षेप
4499,interference,negative,दखल
4501,intermittent,negative,रुक
4509,intolerable,negative,असहनीय
4511,intolerance,negative,असहिष्णुता
4517,intrusion,negative,आतंकवादी
4521,invader,negative,इन्वेडर
4522,invalid,negative,अमान्य
4525,invasive,negative,आक्रामक
4531,invisible,negative,अदृश्य
4550,irony,negative,विडम्बना
4565,irregular,negative,टायर
4566,irregularity,negative,की
4579,irritable,negative,इर्रिटेबल
4582,irritate,negative,जलन
4584,irritating,negative,तकलीफदेह
4585,irritation,negative,जलन
4586,irritations,negative,जलन
4587,isolate,negative,अलग
4588,isolated,negative,एकांत
4590,issue,negative,मुद्दा
4591,issues,negative,मुद्दे
4592,itch,negative,खुजली
4593,itching,negative,खुजली
4594,itchy,negative,खुजली
4597,jagged,negative,दांतेदार
4598,jam,negative,जाम
4601,jealous,negative,जलन
4604,jealousy,negative,डाह
4609,jeopardize,negative,खतरे
4610,jeopardy,negative,खतरे
4611,jerk,negative,झटकें
4612,jerky,negative,जर्की
4618,joke,negative,मजाक
4625,junk,negative,जंक
4631,kill,negative,मारना
4632,killed,negative,मारा
4633,killer,negative,किलर
4634,killing,negative,मार
4636,kills,negative,मारता
4638,knife,negative,चाकू
4639,knock,negative,दस्तक
4643,lack,negative,कमी
4648,lacking,negative,कमी
4650,lacks,negative,का
4652,lag,negative,अंतराल
4656,lags,negative,पीछे
4660,lame,negative,कमजोर
4671,lapse,negative,चूक
4686,lazy,negative,आलसी
4687,leak,negative,रिसाव
4688,leakage,negative,लीकेज
4690,leaking,negative,लीक
4691,leaks,negative,लीक
4701,lemon,negative,नींबू
4702,lengthy,negative,लंबी
4706,lethal,negative,जानलेवा
4707,lethargic,negative,सुस्त
4712,liability,negative,दायित्व
4713,liable,negative,उत्तरदायी
4714,liar,negative,झूठे
4715,liars,negative,के
4719,lie,negative,झूठ
4720,lied,negative,झूठ
4721,lier,negative,बहुत
4722,lies,negative,झूठ
4725,limit,negative,सीमा
4726,limitation,negative,सीमा
4727,limitations,negative,सीमाओं
4728,limited,negative,सीमित
4729,limits,negative,सीमा
4730,limp,negative,लिम्प
4737,loathe,negative,नफरत
4738,loathing,negative,घृणा
4742,lone,negative,लोन
4743,loneliness,negative,तन्हाई
4744,lonely,negative,अकेला
4753,loose,negative,ढीला
4754,loot,negative,लूट
4756,lose,negative,खोना
4757,loser,negative,हारने
4758,losers,negative,फिसड्डियों
4759,loses,negative,हारी
4760,losing,negative,घटाना
4761,loss,negative,हानि
4762,losses,negative,हानियों
4763,lost,negative,खोया
4764,loud,negative,जोर
4765,louder,negative,की
4774,lukewarm,negative,गुनगुने
4780,lure,negative,प्रलोभन
4784,lying,negative,झूठ
4786,mad,negative,पागल
4788,maddening,negative,ही
4791,madly,negative,पागल
4792,madman,negative,मैडमैन
4793,madness,negative,पागलपन
4805,malicious,negative,खराब
4809,malignant,negative,घातक
4816,mania,negative,उन्माद
4820,manipulate,negative,हेरफेर
4821,manipulation,negative,हेरफेर
4824,mar,negative,मार
4825,marginal,negative,सीमांत
4827,martyrdom,negative,तौर
4829,mashed,negative,मैश
4830,massacre,negative,नरसंहार
4832,matte,negative,मैट
4842,mediocre,negative,अजीब
4856,mess,negative,गड़बड़
4864,mindless,negative,नासमझ
4879,miscellaneous,negative,विविध
4880,mischief,negative,शरारत
4883,misconception,negative,धारणा
4884,misconceptions,negative,गलतफहमी
4889,miserable,negative,चालाक
4894,misery,negative,दुख
4901,misguided,negative,गुमराह
4909,mislead,negative,गुमराह
4910,misleading,negative,भ्रामक
4921,miss,negative,याद
4922,missed,negative,याद
4925,mist,negative,धुंध
4926,mistake,negative,गलती
4927,mistaken,negative,गलत
4929,mistakes,negative,गलतियाँ
4931,mistress,negative,मालकिन
4936,misunderstand,negative,गलत
4937,misunderstanding,negative,गलतफहमी
4939,misunderstood,negative,गलत
4940,misuse,negative,दुरुपयोग
4941,moan,negative,विलाप
4943,mock,negative,नकली
4944,mocked,negative,का
4951,molestation,negative,दुष्कर्म
4954,monster,negative,राक्षस
4960,moot,negative,विवादास्पद
4967,moron,negative,मूर्ख
4974,motionless,negative,स्थिर
4976,mourn,negative,ने
4981,muddy,negative,गंदा
4987,murder,negative,हत्या
4988,murderer,negative,मार
4994,musty,negative,बासी
4997,mystery,negative,रहस्य
4999,myth,negative,मिथक
5001,nagging,negative,परेशान
5002,naive,negative,भोले
5004,narrower,negative,क्या
5007,nasty,negative,गंदी
5008,naughty,negative,शरारती
5017,needlessly,negative,बेवजह
5018,needy,negative,जरूरतमंद
5023,negative,negative,नकारात्मक
5028,negligence,negative,लापरवाही
5032,nervous,negative,तंत्रिका
5041,nightmare,negative,बुरे
5046,noise,negative,शोर
5049,noisy,negative,शोर
5053,nonsense,negative,बकवास
5059,nuisance,negative,बनी
5060,numb,negative,सुन्न
5061,obese,negative,मोटे
5062,object,negative,वस्तु
5063,objection,negative,आपत्ति
5064,objectionable,negative,आपत्तिजनक
5065,objections,negative,आपत्ति
5072,obscene,negative,अश्लील
5080,obsessive,negative,ज़ुनूनी
5089,obstructing,negative,बाधा
5098,odd,negative,विषम
5102,oddity,negative,विषमता
5104,odor,negative,गंध
5105,offence,negative,अपराध
5107,offender,negative,अपराधी
5110,offensive,negative,अपमानजनक
5116,omission,negative,चूक
5123,opponent,negative,प्रतिद्वंद्वी
5126,opposition,negative,मुखर
5129,oppression,negative,उत्पीड़न
5150,outsider,negative,यह
5167,overdue,negative,काफी
5171,overloaded,negative,ओवरलोडेड
5177,overpriced,negative,अत्यधिक
5178,overrated,negative,अहंकारी
5182,oversight,negative,पर्यवेक्षण
5200,overwhelming,negative,भारी
5206,pain,negative,दर्द
5207,painful,negative,दर्दनाक
5210,pains,negative,पीड़ा
5211,pale,negative,पीली
5214,pan,negative,पैन
5219,panic,negative,आकस्मिक
5229,paranoid,negative,पागल
5232,parody,negative,पैरोडी
5236,passe,negative,पुराने
5237,passive,negative,परोक्ष
5239,pathetic,negative,दयनीय
5242,paucity,negative,कमी
5245,payback,negative,ऋण
5255,penalty,negative,दंड
5259,peril,negative,पेरिल
5284,pessimistic,negative,निराशावादी
5286,pest,negative,कीट
5288,petrified,negative,सख्त
5291,petty,negative,खुदरा
5300,pig,negative,सुअर
5301,pigs,negative,सूअर
5305,pinch,negative,चुटकी
5313,pity,negative,बेचारा
5315,plague,negative,प्लेग
5318,plea,negative,याचिकाओं
5319,pleas,negative,कृपया
5321,plight,negative,आंसू
5322,plot,negative,प्लॉट
5324,ploy,negative,पॉली
5329,poison,negative,विष
5330,poisonous,negative,जहरीली
5336,pollute,negative,मैली
5339,polution,negative,प्रदूषण
5341,poor,negative,गरीब
5344,poorly,negative,खराब
5347,poverty,negative,गरीबी
5356,predatory,negative,दरिंदगी
5359,prejudice,negative,पूर्वाग्रह
5369,pretend,negative,का
5376,prick,negative,चुभाया
5381,primitive,negative,प्राथमिक
5382,prison,negative,जेल
5383,prisoner,negative,कैदी
5384,problem,negative,समस्या
5386,problems,negative,समस्याएं
5391,profanity,negative,गाली
5394,prohibitively,negative,बेहद
5397,proprietary,negative,मालिकाना
5399,protest,negative,पानी
5401,protesting,negative,विरोध
5402,protests,negative,सरकार
5411,punch,negative,पंच
5412,punish,negative,दंडित
5413,punishable,negative,दंडनीय
5414,punitive,negative,दंडात्मक
5415,punk,negative,पंक
5417,puppet,negative,कठपुतली
5419,puzzled,negative,हैरान
5432,queer,negative,क्वीयर
5437,rabid,negative,पागल
5438,racism,negative,कि
5439,racist,negative,जातिवाद
5442,radical,negative,मूलक
5446,rage,negative,क्रोध
5448,raging,negative,लगाना
5449,rail,negative,रेल
5451,rampage,negative,की
5455,randomly,negative,अचानक
5462,rape,negative,रेप
5463,raped,negative,आबरू
5467,rash,negative,रेश
5479,recession,negative,मंदी
5481,reckless,negative,लापरवाह
5484,recoil,negative,वापसी
5486,redundancy,negative,अतिरिक्तता
5487,redundant,negative,निरर्थक
5488,refusal,negative,से
5489,refuse,negative,मना
5490,refused,negative,मना
5492,refusing,negative,मना
5499,regression,negative,प्रतिगमन
5501,regret,negative,अफसोस
5505,regrets,negative,पछतावे
5509,reject,negative,रिजेक्ट
5510,rejected,negative,रिजेक्ट
5512,rejection,negative,अस्वीकृति
5513,rejects,negative,ने
5515,relentless,negative,इरादा
5521,remorse,negative,पछतावा
5530,repetitive,negative,दोहराए
5552,repulsive,negative,प्रतिकारक
5555,resent,negative,गुस्सा
5558,resignation,negative,इस्तीफा
5559,resigned,negative,त्याग
5560,resistance,negative,प्रतिरोध
5561,restless,negative,बेचैन
5562,restlessness,negative,बैचेनी
5564,restricted,negative,प्रतिबंधित
5570,retard,negative,मंदबुद्धि
5571,retarded,negative,मंदबुद्धि
5576,retreat,negative,पीछे
5578,revenge,negative,प्रतिशोध
5592,rhetorical,negative,वाकपटुता
5599,rift,negative,दरार
5601,rigid,negative,सख्त
5606,rip,negative,आरआईपी
5608,ripoff,negative,रिपोफ
5609,ripped,negative,रिप्पड़
